1966,Best Picture,The Russians Are Coming The Russians Are Coming,"Norman Jewison, Producer",0
1966,Best Picture,Who's Afraid of Virginia Woolf?,"Ernest Lehman, Producer",0
1966,Best Picture,The Sand Pebbles,"Robert Wise, Producer",0
1966,Best Picture,A Man for All Seasons,"Fred Zinnemann, Producer",1
1966,Best Picture,Alfie,"Lewis Gilbert, Producer",0
1967,Best Picture,The Graduate,"Lawrence Turman, Producer",0
1967,Best Picture,In the Heat of the Night,"Walter Mirisch, Producer",1
1967,Best Picture,Bonnie and Clyde,"Warren Beatty, Producer",0
1967,Best Picture,Guess Who's Coming to Dinner,"Stanley Kramer, Producer",0
1967,Best Picture,Doctor Dolittle,"Arthur P. Jacobs, Producer",0
1968,Best Picture,Oliver!,"John Woolf, Producer",1
1968,Best Picture,Funny Girl,"Ray Stark, Producer",0
1968,Best Picture,The Lion in Winter,"Martin Poll, Producer",0
1968,Best Picture,"Rachel, Rachel","Paul Newman, Producer",0
1968,Best Picture,Romeo and Juliet,"Anthony Havelock-Allan and John Brabourne, Producers",0
1969,Best Picture,Midnight Cowboy,"Jerome Hellman, Producer",1
1969,Best Picture,Anne of the Thousand Days,"Hal B. Wallis, Producer",0
1969,Best Picture,Butch Cassidy and the Sundance Kid,"John Foreman, Producer",0
1969,Best Picture,Z,"Jacques Perrin and Hamed Rachedi, Producers",0
1969,Best Picture,"Hello, Dolly!","Ernest Lehman, Producer",0
1970,Best Picture,M*A*S*H,"Ingo Preminger, Producer",0
1970,Best Picture,Love Story,"Howard G. Minsky, Producer",0
1970,Best Picture,Five Easy Pieces,"Bob Rafelson and Richard Wechsler, Producers",0
1970,Best Picture,Airport,"Ross Hunter, Producer",0
1970,Best Picture,Patton,"Frank McCarthy, Producer",1
1971,Best Picture,Nicholas and Alexandra,"Sam Spiegel, Producer",0
1971,Best Picture,The Last Picture Show,"Stephen J. Friedman, Producer",0
1971,Best Picture,A Clockwork Orange,"Stanley Kubrick, Producer",0
1971,Best Picture,The French Connection,"Philip D'Antoni, Producer",1
1971,Best Picture,Fiddler on the Roof,"Norman Jewison, Producer",0
1972,Best Picture,Deliverance,"John Boorman, Producer",0
1972,Best Picture,Cabaret,"Cy Feuer, Producer",0
1972,Best Picture,Sounder,"Robert B. Radnitz, Producer",0
1972,Best Picture,The Emigrants,"Bengt Forslund, Producer",0
1972,Best Picture,The Godfather,"Albert S. Ruddy, Producer",1
1973,Best Picture,A Touch of Class,"Melvin Frank, Producer",0
1973,Best Picture,The Sting,"Tony Bill, Michael Phillips and Julia Phillips, Producers",1
1973,Best Picture,The Exorcist,"William Peter Blatty, Producer",0
1973,Best Picture,American Graffiti,"Francis Ford Coppola, Producer; Gary Kurtz, Co-Producer",0
1973,Best Picture,Cries and Whispers,"Ingmar Bergman, Producer",0
1974,Best Picture,Chinatown,"Robert Evans, Producer",0
1974,Best Picture,The Towering Inferno,"Irwin Allen, Producer",0
1974,Best Picture,Lenny,"Marvin Worth, Producer",0
1974,Best Picture,The Conversation,"Francis Ford Coppola, Producer; Fred Roos, Co-Producer",0
1974,Best Picture,The Godfather Part II,"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers",1
1975,Best Picture,Dog Day Afternoon,"Martin Bregman and Martin Elfand, Producers",0
1975,Best Picture,One Flew over the Cuckoo's Nest,"Saul Zaentz and Michael Douglas, Producers",1
1975,Best Picture,Barry Lyndon,"Stanley Kubrick, Producer",0
1975,Best Picture,Jaws,"Richard D. Zanuck and David Brown, Producers",0
1975,Best Picture,Nashville,"Robert Altman, Producer",0
1976,Best Picture,Network,"Howard Gottfried, Producer",0
1976,Best Picture,All the President's Men,"Walter Coblenz, Producer",0
1976,Best Picture,Taxi Driver,"Michael Phillips and Julia Phillips, Producers",0
1976,Best Picture,Rocky,"Irwin Winkler and Robert Chartoff, Producers",1
1976,Best Picture,Bound for Glory,"Robert F. Blumofe and Harold Leventhal, Producers",0
1977,Best Picture,Julia,"Richard Roth, Producer",0
1977,Best Picture,The Goodbye Girl,"Ray Stark, Producer",0
1977,Best Picture,Annie Hall,"Charles H. Joffe, Producer",1
1977,Best Picture,Star Wars,"Gary Kurtz, Producer",0
1977,Best Picture,The Turning Point,"Herbert Ross and Arthur Laurents, Producers",0
1978,Best Picture,Heaven Can Wait,"Warren Beatty, Producer",0
1978,Best Picture,Coming Home,"Jerome Hellman, Producer",0
1978,Best Picture,The Deer Hunter,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",1
1978,Best Picture,Midnight Express,"Alan Marshall and David Puttnam, Producers",0
1978,Best Picture,An Unmarried Woman,"Paul Mazursky and Tony Ray, Producers",0
1979,Best Picture,Kramer vs. Kramer,"Stanley R. Jaffe, Producer",1
1979,Best Picture,All That Jazz,"Robert Alan Aurthur, Producer",0
1979,Best Picture,Apocalypse Now,"Francis Coppola, Producer; Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers",0
1979,Best Picture,Breaking Away,"Peter Yates, Producer",0
1979,Best Picture,Norma Rae,"Tamara Asseyev and Alex Rose, Producers",0
