Year,Category,Nominee,Additional Info,Won?
1932/33,SHORT SUBJECT (Cartoon),The Three Little Pigs,"Walt Disney, Producer",YES
1932/33,SHORT SUBJECT (Cartoon),Building a Building,"Walt Disney, Producer [came in 2nd]",NO
1932/33,SHORT SUBJECT (Comedy),So This Is Harris,"Louis Brock, Producer",YES
1932/33,SHORT SUBJECT (Comedy),A Preferred List,"Louis Brock, Producer [came in 2nd]",NO
1932/33,SHORT SUBJECT (Comedy),Mister Mugg,"Warren Doane, Producer [came in 3rd]",NO
1932/33,SHORT SUBJECT (Novelty),Menu,"Pete Smith, Producer [tied for 2nd]",NO
1932/33,SHORT SUBJECT (Novelty),The Sea,Educational [tied for 2nd],NO
1932/33,SHORT SUBJECT (Novelty),Krakatoa,"Joe Rock, Producer",YES
1932/33,SOUND RECORDING,I Am a Fugitive from a Chain Gang,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director [came in 2nd]",NO
1932/33,SOUND RECORDING,42nd Street,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",NO
1932/33,SOUND RECORDING,Gold Diggers of 1933,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director [came in 3rd]",NO
1932/33,SOUND RECORDING,A Farewell to Arms,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",YES
1932/33,WRITING (Adaptation),State Fair,"Paul Green, Sonya Levien [came in 3rd]",NO
1932/33,WRITING (Adaptation),Little Women,"Victor Heerman, Sarah Y. Mason",YES
1932/33,WRITING (Adaptation),Lady for a Day,Robert Riskin [came in 2nd],NO
1932/33,WRITING (Original Story),The Prizefighter and the Lady,Frances Marion [came in 2nd],NO
1932/33,WRITING (Original Story),One Way Passage,Robert Lord,YES
1932/33,WRITING (Original Story),Rasputin and the Empress,Charles MacArthur [came in 3rd],NO
1934,ACTOR,Frank Morgan,"The Affairs of Cellini {Allesandro, Duke of Florence""} [came in 2nd]""",NO
1934,ACTOR,Clark Gable,"It Happened One Night {Peter Warne""}""",YES
1934,ACTOR,William Powell,"The Thin Man {Nick Charles""} [came in 3rd]""",NO
1934,ACTRESS,Bette Davis,"Of Human Bondage {Mildred""} [came in 3rd]""",NO
1934,ACTRESS,Norma Shearer,"The Barretts of Wimpole Street {Elizabeth Barrett""} [came in 2nd]""",NO
1934,ACTRESS,Grace Moore,"One Night of Love {Mary""}""",NO
1934,ACTRESS,Claudette Colbert,"It Happened One Night {Ellie Andrews""}""",YES
1934,ART DIRECTION,The Affairs of Cellini,Richard Day [came in 3rd],NO
1934,ART DIRECTION,The Merry Widow,"Cedric Gibbons, Fredric Hope",YES
1934,ART DIRECTION,The Gay Divorcee,"Van Nest Polglase, Carroll Clark [came in 2nd]",NO
1934,ASSISTANT DIRECTOR,Cleopatra,Cullen Tate [came in 2nd],NO
1934,ASSISTANT DIRECTOR,Imitation of Life,Scott Beal [came in 3rd],NO
1934,ASSISTANT DIRECTOR,Viva Villa!,John Waters,YES
1934,CINEMATOGRAPHY,Operator 13,George Folsey [came in 2nd],NO
1934,CINEMATOGRAPHY,Cleopatra,Victor Milner,YES
1934,CINEMATOGRAPHY,The Affairs of Cellini,Charles Rosher [came in 3rd],NO
1934,DIRECTING,The Thin Man,W. S. Van Dyke [came in 2nd],NO
1934,DIRECTING,One Night of Love,Victor Schertzinger [came in 3rd],NO
1934,DIRECTING,It Happened One Night,Frank Capra,YES
1934,FILM EDITING,One Night of Love,Gene Milford [came in 2nd],NO
1934,FILM EDITING,Cleopatra,Anne Bauchens [came in 3rd],NO
1934,FILM EDITING,Eskimo,Conrad Nervig,YES
1934,MUSIC (Scoring),The Lost Patrol,"RKO Radio Studio Music Department, Max Steiner, head of department (Score by Max Steiner) [came in 3rd]",NO
1934,MUSIC (Scoring),The Gay Divorcee,"RKO Radio Studio Music Department, Max Steiner, head of department (Score by Kenneth Webb and Samuel Hoffenstein) [came in 2nd]",NO
1934,MUSIC (Scoring),One Night of Love,"Columbia Studio Music Department, Louis Silvers, head of department (Thematic Music by Victor Schertzinger and Gus Kahn)",YES
1934,MUSIC (Song),"The Continental"" from The Gay Divorcee""",Music by Con Conrad; Lyrics by Herb Magidson,YES
1934,MUSIC (Song),"Carioca"" from Flying Down to Rio""",Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [came in 3rd],NO
1934,MUSIC (Song),"Love in Bloom"" from She Loves Me Not""",Music by Ralph Rainger; Lyrics by Leo Robin [came in 2nd],NO
1934,OUTSTANDING PRODUCTION,Viva Villa!,Metro-Goldwyn-Mayer,NO
1934,OUTSTANDING PRODUCTION,The Gay Divorcee,RKO Radio,NO
1934,OUTSTANDING PRODUCTION,One Night of Love,Columbia,NO
1934,OUTSTANDING PRODUCTION,The Thin Man,Metro-Goldwyn-Mayer,NO
1934,OUTSTANDING PRODUCTION,The Barretts of Wimpole Street,Metro-Goldwyn-Mayer [came in 2nd],NO
1934,OUTSTANDING PRODUCTION,It Happened One Night,Columbia,YES
1934,OUTSTANDING PRODUCTION,Flirtation Walk,First National,NO
1934,OUTSTANDING PRODUCTION,Cleopatra,Paramount,NO
1934,OUTSTANDING PRODUCTION,Here Comes the Navy,Warner Bros.,NO
1934,OUTSTANDING PRODUCTION,Imitation of Life,Universal,NO
1934,OUTSTANDING PRODUCTION,The White Parade,Jesse L. Lasky (production company),NO
1934,OUTSTANDING PRODUCTION,The House of Rothschild,20th Century [came in 3rd],NO
1934,SHORT SUBJECT (Cartoon),The Tortoise and the Hare,"Walt Disney, Producer",YES
1934,SHORT SUBJECT (Cartoon),Holiday Land,"Charles Mintz, Producer [came in 3rd]",NO
1934,SHORT SUBJECT (Cartoon),Jolly Little Elves,"Walter Lantz, Producer [came in 2nd]",NO
1934,SHORT SUBJECT (Comedy),Men in Black,"Jules White, Producer [came in 3rd]",NO
1934,SHORT SUBJECT (Comedy),La Cucaracha,"Kenneth Macgowan, Producer",YES
1934,SHORT SUBJECT (Comedy),"What, No Men!",Warner Bros. [came in 2nd],NO
1934,SHORT SUBJECT (Novelty),Strikes and Spares,"Pete Smith, Producer [came in 2nd]",NO
1934,SHORT SUBJECT (Novelty),Bosom Friends,Skibo Productions [came in 3rd],NO
1934,SHORT SUBJECT (Novelty),City of Wax,"Stacy Woodard and Horace Woodard, Producers",YES
1934,SOUND RECORDING,Flirtation Walk,"Warner Bros.-First National Studio Sound Department, Nathan Levinson, Sound Director [came in 2nd]",NO
1934,SOUND RECORDING,The Gay Divorcee,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director [came in 3rd]",NO
1934,SOUND RECORDING,The Affairs of Cellini,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",NO
1934,SOUND RECORDING,Viva Villa!,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",NO
1934,SOUND RECORDING,The White Parade,"Fox Studio Sound Department, E. H. Hansen, Sound Director",NO
1934,SOUND RECORDING,One Night of Love,"Columbia Studio Sound Department, John Livadary, Sound Director",YES
1934,SOUND RECORDING,Imitation of Life,"Universal Studio Sound Department, Theodore Soderberg, Sound Director",NO
1934,SOUND RECORDING,Cleopatra,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",NO
1934,WRITING (Adaptation),The Thin Man,"Frances Goodrich, Albert Hackett [came in 2nd]",NO
1934,WRITING (Adaptation),Viva Villa!,Ben Hecht [came in 3rd],NO
1934,WRITING (Adaptation),It Happened One Night,Robert Riskin,YES
1934,WRITING (Original Story),Hide-Out,Mauri Grashin [came in 3rd],NO
1934,WRITING (Original Story),The Richest Girl in the World,Norman Krasna [came in 2nd],NO
1934,WRITING (Original Story),Manhattan Melodrama,Arthur Caesar,YES
1935,ACTOR,Victor McLaglen,"The Informer {Gypo Nolan""}""",YES
1935,ACTOR,Franchot Tone,"Mutiny on the Bounty {Roger Byam""}""",NO
1935,ACTOR,Paul Muni,"Black Fury {Joe Radek""} [came in 2nd]""",NO
